"","river","when.erected","purpose","length","lanes","material","span","type"
"2","A",1819,"HIGHWAY",1037,2,"WOOD","SHORT","WOOD"
"4","A",1837,"HIGHWAY",1000,2,"WOOD","SHORT","WOOD"
"6","A",1840,"HIGHWAY",990,2,"WOOD","MEDIUM","WOOD"
"7","A",1844,"AQUEDUCT",1000,1,"IRON","SHORT","SUSPEN"
"8","M",1846,"HIGHWAY",1500,2,"IRON","SHORT","SUSPEN"
"10","A",1851,"HIGHWAY",1000,2,"WOOD","MEDIUM","WOOD"
"12","M",1856,"HIGHWAY",1200,2,"WOOD","MEDIUM","WOOD"
"15","A",1859,"HIGHWAY",1030,2,"IRON","MEDIUM","SUSPEN"
"16","M",1863,"RR",1000,2,"IRON","MEDIUM","SIMPLE-T"
"17","A",1864,"RR",1200,2,"IRON","SHORT","SIMPLE-T"
"18","A",1866,"HIGHWAY",1000,2,"WOOD","MEDIUM","WOOD"
"19","A",1870,"HIGHWAY",1000,2,"WOOD","MEDIUM","WOOD"
"22","A",1876,"HIGHWAY",1200,4,"WOOD","SHORT","WOOD"
"26","M",1883,"RR",1150,2,"STEEL","MEDIUM","SIMPLE-T"
"28","A",1884,"HIGHWAY",1080,2,"STEEL","MEDIUM","SUSPEN"
"29","M",1884,"HIGHWAY",1000,2,"STEEL","MEDIUM","ARCH"
"31","M",1887,"RR",1161,2,"STEEL","MEDIUM","SIMPLE-T"
"32","O",1888,"RR",4558,2,"STEEL","LONG","SIMPLE-T"
"35","A",1890,"HIGHWAY",1000,2,"STEEL","MEDIUM","SIMPLE-T"
"37","M",1891,"RR",1350,2,"STEEL","MEDIUM","SIMPLE-T"
"39","A",1892,"AQUEDUCT",1092,1,"WOOD","SHORT","WOOD"
"42","M",1895,"HIGHWAY",2367,2,"STEEL","LONG","SIMPLE-T"
"44","M",1896,"HIGHWAY",1040,2,"STEEL","LONG","ARCH"
"45","A",1897,"RR",4000,2,"STEEL","LONG","SIMPLE-T"
"47","M",1898,"RR",2000,2,"STEEL","MEDIUM","SIMPLE-T"
"48","A",1900,"HIGHWAY",1200,2,"STEEL","MEDIUM","SIMPLE-T"
"49","A",1900,"HIGHWAY",2000,2,"STEEL","MEDIUM","SIMPLE-T"
"51","A",1902,"HIGHWAY",1850,2,"STEEL","MEDIUM","CANTILEV"
"52","M",1903,"RR",1300,2,"STEEL","MEDIUM","SIMPLE-T"
"53","A",1903,"RR",3000,2,"STEEL","MEDIUM","SIMPLE-T"
"54","M",1903,"RR",1417,2,"STEEL","MEDIUM","SIMPLE-T"
"56","M",1904,"RR",1200,2,"STEEL","MEDIUM","SIMPLE-T"
"57","A",1904,"RR",965,4,"STEEL","MEDIUM","SIMPLE-T"
"61","A",1909,"HIGHWAY",1730,2,"STEEL","LONG","SIMPLE-T"
"62","O",1910,"RR",1620,2,"STEEL","LONG","CANTILEV"
"63","O",1911,"HIGHWAY",1652,2,"STEEL","LONG","CANTILEV"
"66","O",1915,"RR",2822,2,"STEEL","LONG","SIMPLE-T"
"67","A",1915,"HIGHWAY",1000,4,"STEEL","LONG","SIMPLE-T"
"68","A",1918,"RR",2300,2,"STEEL","LONG","CONT-T"
"69","A",1920,"RR",2122,2,"STEEL","MEDIUM","SIMPLE-T"
"71","A",1923,"HIGHWAY",885,4,"STEEL","MEDIUM","ARCH"
"72","A",1924,"HIGHWAY",2365,4,"STEEL","MEDIUM","ARCH"
"73","A",1926,"HIGHWAY",860,4,"STEEL","MEDIUM","SUSPEN"
"74","A",1926,"HIGHWAY",884,4,"STEEL","MEDIUM","SUSPEN"
"75","O",1927,"HIGHWAY",1770,2,"STEEL","LONG","CANTILEV"
"77","M",1927,"HIGHWAY",2663,4,"STEEL","MEDIUM","CANTILEV"
"78","M",1927,"HIGHWAY",1330,4,"STEEL","LONG","CANTILEV"
"79","A",1928,"HIGHWAY",2678,4,"STEEL","MEDIUM","ARCH"
"80","M",1928,"HIGHWAY",2220,2,"STEEL","MEDIUM","CANTILEV"
"81","A",1928,"HIGHWAY",860,4,"STEEL","MEDIUM","SUSPEN"
"82","M",1928,"HIGHWAY",2250,2,"STEEL","MEDIUM","SIMPLE-T"
"83","O",1931,"HIGHWAY",1365,4,"STEEL","LONG","ARCH"
"84","O",1931,"HIGHWAY",1450,4,"STEEL","LONG","ARCH"
"85","M",1931,"HIGHWAY",1500,4,"STEEL","LONG","SUSPEN"
"86","M",1937,"HIGHWAY",1690,4,"STEEL","LONG","CONT-T"
"87","A",1939,"HIGHWAY",1800,4,"STEEL","MEDIUM","CANTILEV"
"88","A",1945,"HIGHWAY",1060,4,"STEEL","MEDIUM","CONT-T"
"89","A",1945,"RR",840,2,"STEEL","MEDIUM","SIMPLE-T"
"90","A",1945,"HIGHWAY",1710,2,"STEEL","MEDIUM","CONT-T"
"91","O",1945,"HIGHWAY",2160,2,"STEEL","LONG","CANTILEV"
"94","M",1950,"HIGHWAY",1320,2,"STEEL","MEDIUM","SIMPLE-T"
"95","M",1951,"HIGHWAY",900,4,"STEEL","MEDIUM","CONT-T"
"96","M",1951,"HIGHWAY",2423,4,"STEEL","LONG","CONT-T"
"97","M",1951,"HIGHWAY",1031,4,"STEEL","LONG","CANTILEV"
"98","A",1955,"HIGHWAY",2300,4,"STEEL","LONG","CONT-T"
"100","O",1959,"HIGHWAY",1700,2,"STEEL","LONG","CONT-T"
"101","M",1959,"HIGHWAY",1000,6,"STEEL","LONG","ARCH"
"102","A",1961,"HIGHWAY",980,4,"STEEL","MEDIUM","CONT-T"
"103","M",1962,"HIGHWAY",2213,4,"STEEL","LONG","CONT-T"
"104","A",1969,"HIGHWAY",870,6,"STEEL","MEDIUM","ARCH"
"105","O",1975,"HIGHWAY",3756,6,"STEEL","LONG","ARCH"
"106","M",1978,"HIGHWAY",950,6,"STEEL","LONG","ARCH"
